year,output,land,labor
1989,2.430000066757202,1,79
1989,7,5,150
1989,1.1200000047683716,4,24
1989,0.699999988079071,0.5,14
1989,6.817500114440918,3,74
1989,3.8499999046325684,3.5,33
1989,4.199999809265137,2.5,70
1989,8.100000381469727,4.25,127
1989,0.699999988079071,1,19
1989,0.2800000011920929,0.5,14
1989,1.5399999618530273,0.75,20
1989,0.20250000059604645,0.5,2.200000047683716
1989,3.442500114440918,4.5,25
1989,14,7,499
1989,8.4375,5,108
1989,4.454999923706055,2.5,101
1989,1.6200000047683716,1.5,35
1989,3.442500114440918,2,50
1989,1,1,69
1989,3.1387500762939453,1.75,255.5
1989,0.5400000214576721,0.25,26
1989,2.0250000953674316,1,34.5
1989,2.0250000953674316,2,123.5
1989,1.2825000286102295,1,27
1989,2.940000057220459,1.5,78
1989,2.9024999141693115,2,171
1989,2.1600000858306885,1,60.5
1989,0.8100000023841858,1,62
1989,4.387499809265137,2,310
1989,8.100000381469727,4,192
1989,1.6875,1.5,119.5
1989,4.387499809265137,3,148
1989,0.4387499988079071,0.25,4.5
1989,0.9449999928474426,1.5,156
1989,3.375,2,80
1989,0.27000001072883606,1,80
1989,2.700000047683716,2,118
1989,0.4724999964237213,0.05999999865889549,25
1983,3.1040000915527344,2.5,92
1983,0.7425000071525574,0.5,46
1983,1.350000023841858,1,21
1983,0.9652500152587891,1,47
1983,3.7799999713897705,0.75,58.5
1983,1.5525000095367432,0.75,42.5
1983,0.7425000071525574,0.5,17
1983,9.449999809265137,4,196
1983,2.0250000953674316,1.5,47.5
1983,1.0125000476837158,1.5,48
1983,2.8350000381469727,2,110
1983,1.5525000095367432,0.5,42.75
1983,0.8100000023841858,1,47
1983,3.0374999046325684,3.5,264
1983,4.050000190734863,2,84.5
1983,0.9449999928474426,1,28
1983,0.30375000834465027,0.25,26
1983,1.8224999904632568,1,42
1983,1.350000023841858,1,28.5
1983,0.6075000166893005,1,22
1983,0.5400000214576721,0.5,44
1983,0.4724999964237213,1,49
1983,4.387499809265137,3,50
1983,1.215000033378601,3.25,60.95000076293945
1983,4.050000190734863,2,150
1983,12.015000343322754,2.5,74.75
1983,1.8899999856948853,4,369
1983,1.6200000047683716,1,101
1983,1.350000023841858,1,32
1983,1.2825000286102295,3,100.5
1983,30,6,130.5
1983,0.6700000166893005,1.25,33.75
1983,10.800000190734863,4.5,64.75
1983,0.8100000023841858,1,60
1983,10.9350004196167,5.5,90.75
1983,1.0800000429153442,1.5,48.20000076293945
1983,0.27000001072883606,0.5,16.5
1983,0.5400000214576721,2,95.9000015258789
1983,1.350000023841858,1,36
1983,2.0250000953674316,1.5,24
1983,5.400000095367432,5.5,114
1983,1.350000023841858,3,31
1983,0.8774999976158142,1,7
1983,1.0800000429153442,1,25
1983,0.20250000059604645,0.25,12.649999618530273
1983,0.20250000059604645,2.5,66
1983,10.800000190734863,5,220
1983,1.8224999904632568,1.25,60
